impl,np,road_length,density,repetition,wall_time_ms,avg_velocity
traffic_mpi,2,8000,0.50,1,29.285,0.988264
traffic_mpi_opt,2,8000,0.50,1,27.969,0.996119
traffic_mpi,2,64000,0.50,1,223.465,0.987648
traffic_mpi_opt,2,64000,0.50,1,78.593,0.974990
traffic_mpi,2,500000,0.50,1,1721.056,0.988699
traffic_mpi_opt,2,500000,0.50,1,651.934,0.989969
traffic_mpi,2,2000000,0.50,1,6924.939,0.989986
traffic_mpi_opt,2,2000000,0.50,1,2573.844,0.989345
traffic_mpi,2,5000000,0.50,1,17585.710,0.989565
traffic_mpi_opt,2,5000000,0.50,1,6356.066,0.989680
traffic_mpi,2,10000000,0.50,1,22504.684,0.990385
traffic_mpi_opt,2,10000000,0.50,1,12647.730,0.990343
traffic_mpi,3,8000,0.50,1,927.749,0.996443
traffic_mpi_opt,3,8000,0.50,1,932.121,0.975638
traffic_mpi,3,64000,0.50,1,929.480,0.989145
traffic_mpi_opt,3,64000,0.50,1,926.497,0.987169
traffic_mpi,3,500000,0.50,1,1354.633,0.989191
traffic_mpi_opt,3,500000,0.50,1,926.801,0.985240
traffic_mpi,3,2000000,0.50,1,3378.870,0.990473
traffic_mpi_opt,3,2000000,0.50,1,2161.267,0.987784
traffic_mpi,3,5000000,0.50,1,7646.036,0.990353
traffic_mpi_opt,3,5000000,0.50,1,4626.489,0.989938
traffic_mpi,3,10000000,0.50,1,23428.281,0.990373
traffic_mpi_opt,3,10000000,0.50,1,8777.075,0.989559
traffic_mpi,4,8000,0.50,1,965.716,0.994088
traffic_mpi_opt,4,8000,0.50,1,949.275,0.970891
traffic_mpi,4,64000,0.50,1,955.169,0.979781
traffic_mpi_opt,4,64000,0.50,1,947.658,0.987311
traffic_mpi,4,500000,0.50,1,1376.268,0.990798
traffic_mpi_opt,4,500000,0.50,1,947.218,0.991923
traffic_mpi,4,2000000,0.50,1,4067.451,0.989709
traffic_mpi_opt,4,2000000,0.50,1,1735.055,0.989024
traffic_mpi,4,5000000,0.50,1,9405.046,0.990412
traffic_mpi_opt,4,5000000,0.50,1,3517.600,0.989277
traffic_mpi,4,10000000,0.50,1,18440.195,0.990556
traffic_mpi_opt,4,10000000,0.50,1,6720.790,0.990463
traffic_mpi,5,8000,0.50,1,1001.230,0.981752
traffic_mpi_opt,5,8000,0.50,1,994.357,0.997573
traffic_mpi,5,64000,0.50,1,984.832,0.990089
traffic_mpi_opt,5,64000,0.50,1,983.554,0.992584
traffic_mpi,5,500000,0.50,1,1326.147,0.988835
traffic_mpi_opt,5,500000,0.50,1,1042.671,0.990100
traffic_mpi,5,2000000,0.50,1,3467.126,0.991420
traffic_mpi_opt,5,2000000,0.50,1,1609.444,0.988924
traffic_mpi,5,5000000,0.50,1,7806.318,0.989648
traffic_mpi_opt,5,5000000,0.50,1,3060.045,0.990499
traffic_mpi,5,10000000,0.50,1,15052.915,0.990415
traffic_mpi_opt,5,10000000,0.50,1,5478.189,0.990195
traffic_mpi,6,8000,0.50,1,975.578,0.998660
traffic_mpi_opt,6,8000,0.50,1,982.449,0.998639
traffic_mpi,6,64000,0.50,1,982.213,0.983127
