impl                    np    road_length   density     avg_ms    avg_vel
----------------------  ----  ------------  -------  ---------  ---------
traffic_mpi             2     8000          0.50          28.6     0.9881
traffic_mpi             3     8000          0.50         932.0     0.9825
traffic_mpi             4     8000          0.50         946.8     0.9867
traffic_mpi             5     8000          0.50         998.8     0.9856
traffic_mpi             6     8000          0.50         974.5     0.9772
traffic_mpi_opt         2     8000          0.50          12.9     0.9872
traffic_mpi_opt         3     8000          0.50         931.8     0.9829
traffic_mpi_opt         4     8000          0.50         950.8     0.9836
traffic_mpi_opt         5     8000          0.50         997.2     0.9812
traffic_mpi_opt         6     8000          0.50         975.3     0.9843
traffic_mpi             2     64000         0.50         223.2     0.9871
traffic_mpi             3     64000         0.50         928.6     0.9882
traffic_mpi             4     64000         0.50         945.4     0.9874
traffic_mpi             5     64000         0.50         981.5     0.9879
traffic_mpi             6     64000         0.50         965.2     0.9869
traffic_mpi_opt         2     64000         0.50          80.2     0.9855
traffic_mpi_opt         3     64000         0.50         929.5     0.9877
traffic_mpi_opt         4     64000         0.50         946.5     0.9850
traffic_mpi_opt         5     64000         0.50         997.8     0.9867
traffic_mpi_opt         6     64000         0.50         974.8     0.9865
traffic_mpi             2     500000        0.50        1746.5     0.9890
traffic_mpi             3     500000        0.50        1364.7     0.9883
traffic_mpi             4     500000        0.50        1373.0     0.9885
traffic_mpi             5     500000        0.50        1327.6     0.9891
traffic_mpi             6     500000        0.50        1197.1     0.9897
traffic_mpi_opt         2     500000        0.50         645.0     0.9879
traffic_mpi_opt         3     500000        0.50         927.8     0.9878
traffic_mpi_opt         4     500000        0.50         947.2     0.9903
traffic_mpi_opt         5     500000        0.50        1050.8     0.9894
traffic_mpi_opt         6     500000        0.50        1017.4     0.9890
traffic_mpi             2     2000000       0.50        7000.3     0.9904
traffic_mpi             3     2000000       0.50        4565.8     0.9896
traffic_mpi             4     2000000       0.50        4061.9     0.9903
traffic_mpi             5     2000000       0.50        3485.3     0.9901
traffic_mpi             6     2000000       0.50        2925.4     0.9899
traffic_mpi_opt         2     2000000       0.50        2562.1     0.9893
traffic_mpi_opt         3     2000000       0.50        2149.0     0.9897
traffic_mpi_opt         4     2000000       0.50        1733.4     0.9896
traffic_mpi_opt         5     2000000       0.50        1608.6     0.9896
traffic_mpi_opt         6     2000000       0.50        1415.8     0.9899
traffic_mpi             2     5000000       0.50       17509.4     0.9902
traffic_mpi             3     5000000       0.50       11301.0     0.9902
traffic_mpi             4     5000000       0.50        9405.3     0.9901
traffic_mpi             5     5000000       0.50        7810.1     0.9898
traffic_mpi             6     5000000       0.50        6468.7     0.9900
traffic_mpi_opt         2     5000000       0.50        6386.6     0.9902
traffic_mpi_opt         3     5000000       0.50        4657.3     0.9898
traffic_mpi_opt         4     5000000       0.50        3566.9     0.9896
traffic_mpi_opt         5     5000000       0.50        3082.4     0.9898
traffic_mpi_opt         6     5000000       0.50        2614.5     0.9900
traffic_mpi             2     10000000      0.50       32539.4     0.9898
traffic_mpi             3     10000000      0.50       22871.8     0.9901
traffic_mpi             4     10000000      0.50       18417.6     0.9902
traffic_mpi             5     10000000      0.50       15051.2     0.9899
traffic_mpi             6     10000000      0.50       12339.5     0.9899
traffic_mpi_opt         2     10000000      0.50       12802.2     0.9897
traffic_mpi_opt         3     10000000      0.50        8794.8     0.9901
traffic_mpi_opt         4     10000000      0.50        6710.5     0.9900
traffic_mpi_opt         5     10000000      0.50        5550.7     0.9901
traffic_mpi_opt         6     10000000      0.50        4619.9     0.9900
traffic_mpi_opt         2     20000000      0.10       25338.7     1.0000
traffic_mpi_opt         3     20000000      0.10       17103.7     1.0000
traffic_mpi_opt         4     20000000      0.10       12947.0     1.0000
traffic_mpi_opt         2     20000000      0.30       25363.7     1.0000
traffic_mpi_opt         3     20000000      0.30       17121.2     1.0000
traffic_mpi_opt         4     20000000      0.30       12871.6     1.0000
traffic_mpi_opt         2     20000000      0.50       25422.2     0.9901
traffic_mpi_opt         3     20000000      0.50       17112.3     0.9902
traffic_mpi_opt         4     20000000      0.50       12876.6     0.9901
traffic_mpi_opt         2     20000000      0.70       25370.0     0.4285
traffic_mpi_opt         3     20000000      0.70       17186.0     0.4285
traffic_mpi_opt         4     20000000      0.70       12842.2     0.4286
traffic_mpi_opt         2     20000000      0.90       25410.6     0.1111
traffic_mpi_opt         3     20000000      0.90       17151.3     0.1111
traffic_mpi_opt         4     20000000      0.90       12941.2     0.1111
